surface_form_lemma_link_id	surface_form_id	lemma_id	lemma_subtlex_pos_id
21241	20363	923	979
21242	20364	2304	2381
21245	20367	613	665
21255	20376	206	239
21258	20378	2657	2739
21261	20381	1957	2028
21263	20382	1335	1397
21264	20383	877	932
21268	20387	632	684
21274	20393	445	489
21277	20396	1574	1641
21278	20397	1000	1057
21279	20398	487	532
21280	20399	511	556
21285	20404	234	268
21287	20406	3705	3795
21290	20409	409	452
21291	20410	3841	3931
21295	20414	126	153
21296	20415	249	284
21299	20417	649	701
21309	20426	2851	2933
21326	20443	53	71
21327	20444	171	201
21331	20448	267	303
21334	20451	2014	2087
21336	20453	2727	2809
21340	20457	120	146
21344	20461	615	667
21345	20462	2704	2786
21346	20463	2759	2841
21350	20467	322	363
21354	20471	2778	2860
21356	20473	1766	1834
21360	20477	2069	2143
21361	20478	1817	1886
21362	20478	130	157
21369	20485	504	549
21370	20486	93	114
21372	20488	3064	3147
21376	20492	315	355
21377	20493	627	679
21383	20499	419	462
21389	20504	726	780
21391	20506	264	300
21398	20513	1097	1155
21399	20514	804	859
21402	20516	1169	1229
21404	20518	2518	2599
21405	20518	204	237
21413	20526	1177	1237
21421	20534	589	641
21423	20536	3184	3268
21425	20538	354	395
21427	20539	810	865
21429	20541	1045	1102
21434	20545	1577	1644
21435	20546	1079	1136
21440	20551	1181	1241
21441	20552	3432	3519
21442	20553	504	549
21445	20556	1436	1502
21447	20558	181	213
21450	20561	2723	2805
21453	20564	534	581
21456	20567	2290	2367
21461	20572	455	499
21464	20575	806	861
21468	20579	556	605
21471	20582	5354	5449
21473	20584	1663	1730
21474	20585	877	932
21476	20587	624	676
21477	20588	1258	1319
21479	20590	1052	1109
21486	20597	1248	1308
21487	20598	174	204
21488	20599	174	204
21494	20605	1300	1362
21505	20616	2590	2671
21510	20620	4054	4145
21525	20634	43	59
21533	20642	701	754
21534	20643	913	969
21537	20646	1147	1205
21543	20652	1027	1084
21545	20654	2058	2132
21548	20657	283	321
21553	20662	1130	1188
21557	20666	414	457
21558	20667	804	859
21565	20674	3402	3489
21567	20676	1295	1357
21569	20678	972	1029
21572	20681	592	644
21583	20692	502	547
21586	20695	1824	1894
21590	20699	602	654
21596	20705	1666	1733
21601	20710	776	831
21603	20712	1682	1749
21609	20718	176	206
21618	20727	2058	2132
21620	20729	372	414
21623	20732	1317	1379
21624	20733	788	843
21635	20744	1548	1615
21641	20750	5795	5891
