surface_form_id	nkjp_frequency	nkjp_frequency_rank	occurrence_pct	per_million
301	84343	213	0.036197257565	361.972576
302	13268	1710	0.005694191733	56.941917
303	13767	1640	0.005908346216	59.083462
304	2331	10585	0.001000388976	10.003890
305	36527	562	0.015676193959	156.761940
306	33100	640	0.014205437623	142.054376
307	106510	166	0.045710609099	457.106091
309	51525	372	0.022112845121	221.128451
310	4752	5360	0.002039403009	20.394030
311	118835	146	0.051000096069	510.000961
312	175655	87	0.075385382042	753.853820
313	20034	1094	0.008597937684	85.979377
314	41004	481	0.017597575960	175.975760
315	32855	646	0.014100291634	141.002916
316	373656	41	0.160360936566	1603.609366
317	85281	209	0.036599816492	365.998165
318	38735	522	0.016623795357	166.237954
320	167374	94	0.071831447633	718.314476
321	35245	585	0.015126001481	151.260015
322	59175	307	0.025395974964	253.959750
323	60184	302	0.025829004770	258.290048
324	29265	741	0.012559581028	125.595810
325	15884	1394	0.006816893390	68.168934
326	15334	1452	0.006580851375	65.808514
327	124679	136	0.053508149769	535.081498
328	41559	476	0.017835763811	178.357638
329	297855	55	0.127829626075	1278.296261
330	18315	1205	0.007860199095	78.601991
331	4886	5207	0.002096911427	20.969114
332	20953	1046	0.008992342432	89.923424
333	45824	435	0.019666162345	196.661623
334	73067	250	0.031357967093	313.579671
335	79396	225	0.034074166933	340.741669
336	23279	942	0.009990585572	99.905856
337	73003	251	0.031330500386	313.305004
338	3910	6513	0.001678044142	16.780441
339	5077	5004	0.002178882381	21.788824
340	53341	349	0.022892212937	228.922129
341	13860	1625	0.005948258775	59.482588
342	2119	11592	0.000909405508	9.094055
343	384154	40	0.164866334879	1648.663349
344	23952	910	0.010279415164	102.794152
345	44581	443	0.019132707391	191.327074
346	6972	3571	0.002992154414	29.921544
347	52449	358	0.022509395706	225.093957
348	72750	252	0.031221921059	312.219211
350	4272	5977	0.001833402705	18.334027
351	47743	413	0.020489734393	204.897344
352	30267	713	0.012989606662	129.896067
353	7603	3266	0.003262958980	32.629590
355	39816	505	0.017087725208	170.877252
356	71960	255	0.030882878892	308.828789
357	41978	471	0.018015584910	180.155849
358	12608	1818	0.005410941316	54.109413
359	29485	732	0.012653997834	126.539978
360	11123	2118	0.004773627875	47.736279
361	67150	271	0.028818584180	288.185842
362	2838	8832	0.001217976797	12.179768
363	19220	1145	0.008248595502	82.485955
364	55877	327	0.023980581210	239.805812
365	10698	2204	0.004591231773	45.912318
366	51318	374	0.022024007490	220.240075
367	17916	1233	0.007688961343	76.889613
368	32586	651	0.013984845631	139.848456
369	95471	186	0.040973031277	409.730313
370	51585	369	0.022138595159	221.385952
371	40922	482	0.017562384242	175.623842
372	2737	9138	0.001174630899	11.746309
373	30988	691	0.013299036286	132.990363
374	31424	683	0.013486153228	134.861532
375	15694	1416	0.006735351603	67.353516
